,date,Close,Label
0,2019-05-03,26504.949219,1
1,2019-05-02,26307.789063,1
2,2019-05-01,26430.140625,1
3,2019-04-30,26592.910156,1
4,2019-04-29,26554.390625,1
5,2019-04-26,26543.330078,0
6,2019-04-25,26462.080078,0
7,2019-04-24,26597.050781,1
8,2019-04-23,26656.390625,1
9,2019-04-22,26511.050781,1
10,2019-04-18,26559.539063,0
11,2019-04-17,26449.539063,1
12,2019-04-16,26452.660156,1
13,2019-04-15,26384.769531,1
14,2019-04-12,26412.300781,1
15,2019-04-11,26143.050781,1
16,2019-04-10,26157.160156,0
17,2019-04-09,26150.580078,1
18,2019-04-08,26341.019531,1
19,2019-04-05,26424.990234,1
20,2019-04-04,26384.630859,1
21,2019-04-03,26218.130859,0
22,2019-04-02,26179.130859,1
23,2019-04-01,26258.419922,0
24,2019-03-29,25928.679688,1
25,2019-03-28,25717.460938,1
26,2019-03-27,25625.589844,0
27,2019-03-26,25657.730469,1
28,2019-03-25,25516.830078,0
29,2019-03-22,25502.320313,0
30,2019-03-21,25962.509766,0
31,2019-03-20,25745.669922,0
32,2019-03-19,25887.380859,0
33,2019-03-18,25914.099609,1
34,2019-03-15,25848.869141,1
35,2019-03-14,25709.939453,1
36,2019-03-13,25702.890625,1
37,2019-03-12,25554.660156,1
38,2019-03-11,25650.880859,1
39,2019-03-08,25450.240234,1
40,2019-03-07,25473.230469,0
41,2019-03-06,25673.460938,0
42,2019-03-05,25806.630859,1
43,2019-03-04,25819.650391,0
44,2019-03-01,26026.320313,1
45,2019-02-28,25916.0,1
46,2019-02-27,25985.160156,1
47,2019-02-26,26057.980469,1
48,2019-02-25,26091.949219,0
49,2019-02-22,26031.810547,1
